key,en,fr,es,de,ru,ar,note
siteconfig.meta_title,SolarOne — Precision LED Lighting Systems,SolarOne — Systèmes d'éclairage LED de précision,SolarOne — Sistemas de iluminación LED de precisión,SolarOne — Präzise LED-Beleuchtungssysteme,SolarOne — Прецизионные системы светодиодного освещения,SolarOne — أنظمة إضاءة LED دقيقة,Global default for every page <title> / og:title (base.html)
siteconfig.meta_description,"Professional LED sports lighting, high bay, and modular luminaire solutions. Engineered in Beijing since 2007, trusted in 50+ countries worldwide.","Solutions professionnelles d'éclairage LED pour le sport, haute baie et luminaires modulaires. Conçues à Pékin depuis 2007, reconnues dans plus de 50 pays.","Soluciones profesionales de iluminación LED deportiva, alta bahía y luminarias modulares. Diseñadas en Pekín desde 2007, con la confianza de más de 50 países.","Professionelle LED-Sportbeleuchtung, High-Bay und modulare Leuchtenlösungen. Entwickelt in Peking seit 2007, weltweit in über 50 Ländern vertraut.","Профессиональные решения светодиодного спортивного освещения, высокого пролёта и модульных светильников. Разработаны в Пекине с 2007 года, доверие более чем 50 стран.",حلول احترافية للإضاءة الرياضية بتقنية LED، وإضاءة عالية، ومصابيح معيارية. صُممت في بكين منذ 2007، وتحظى بثقة أكثر من 50 دولة.,Global default for every page meta description
template.home_title,SolarOne — Professional LED Sports Lighting Solutions Since 2007,SolarOne — Solutions d'éclairage LED sportif professionnelles depuis 2007,SolarOne — Soluciones profesionales de iluminación LED deportiva desde 2007,SolarOne — Professionelle LED-Sportbeleuchtungslösungen seit 2007,SolarOne — Профессиональные решения светодиодного спортивного освещения с 2007 года,SolarOne — حلول إضاءة رياضية احترافية بتقنية LED منذ 2007,home.html <title>
template.about_title,About SolarOne — LED Lighting Manufacturer Since 2007,À propos de SolarOne — Fabricant d'éclairage LED depuis 2007,Acerca de SolarOne — Fabricante de iluminación LED desde 2007,Über SolarOne — LED-Beleuchtungshersteller seit 2007,О SolarOne — Производитель светодиодного освещения с 2007 года,حول SolarOne — مصنّع إضاءة LED منذ 2007,about.html <title>
template.contact_title,Contact SolarOne — Get a LED Lighting Quote Today,Contactez SolarOne — Obtenez un devis d'éclairage LED dès aujourd'hui,Contacte con SolarOne — Solicite un presupuesto de iluminación LED hoy,Kontaktieren Sie SolarOne — Fordern Sie heute ein LED-Beleuchtungsangebot an,Свяжитесь с SolarOne — Получите расчёт LED-освещения уже сегодня,تواصل مع SolarOne — احصل على عرض أسعار للإضاءة LED اليوم,contact.html <title>
template.news_title,News — SolarOne LED Lighting Updates,Actualités — Nouveautés de l'éclairage LED SolarOne,Noticias — Novedades de iluminación LED de SolarOne,News — SolarOne LED-Beleuchtungs-Updates,Новости — Обновления светодиодного освещения SolarOne,الأخبار — مستجدات إضاءة LED من SolarOne,news.html <title>
template.products_title,LED Lighting Products — SolarOne Professional Lighting Solutions,Produits d'éclairage LED — Solutions d'éclairage professionnelles SolarOne,Productos de iluminación LED — Soluciones de iluminación profesional SolarOne,LED-Beleuchtungsprodukte — Professionelle SolarOne Beleuchtungslösungen,Продукция светодиодного освещения — Профессиональные решения освещения SolarOne,منتجات الإضاءة LED — حلول إضاءة احترافية من SolarOne,products.html <title>
template.projects_title,LED Lighting Projects — SolarOne Projects Worldwide,Projets d'éclairage LED — Projets SolarOne dans le monde,Proyectos de iluminación LED — Proyectos SolarOne en todo el mundo,LED-Beleuchtungsprojekte — SolarOne Projekte weltweit,Проекты светодиодного освещения — Проекты SolarOne по всему миру,مشاريع إضاءة LED — مشاريع SolarOne حول العالم,projects.html <title>
template.home_meta,"SolarOne designs and manufactures professional LED sports lighting, high bay, and industrial lighting systems. Engineered in Beijing since 2007, trusted in 50+ countries worldwide.","SolarOne conçoit et fabrique des systèmes d'éclairage LED sportif, haute baie et industriel professionnels. Conçus à Pékin depuis 2007, ils sont adoptés dans plus de 50 pays.","SolarOne diseña y fabrica sistemas de iluminación LED deportiva, alta bahía e industrial profesionales. Desarrollados en Pekín desde 2007, con la confianza de más de 50 países.","SolarOne entwickelt und fertigt professionelle LED-Sport-, High-Bay- und Industriebeleuchtungssysteme. In Peking seit 2007 entwickelt, weltweit in über 50 Ländern vertraut.","SolarOne проектирует и производит профессиональные системы светодиодного спортивного, высокого пролёта и промышленного освещения. Разработаны в Пекине с 2007 года, доверие более чем 50 стран.",تصمم SolarOne وتصنع أنظمة إضاءة رياضية وصناعية وعالية احترافية بتقنية LED. صُممت في بكين منذ 2007، وتحظى بثقة أكثر من 50 دولة.,home.html meta description
template.about_meta,"Learn about SolarOne, a professional LED lighting manufacturer since 2007. Specializing in sports lighting, high bay, roadway, and industrial lighting solutions for 50+ countries.","Découvrez SolarOne, fabricant d'éclairage LED professionnel depuis 2007. Spécialiste de l'éclairage sportif, haute baie, routier et industriel pour plus de 50 pays.","Conozca SolarOne, fabricante de iluminación LED profesional desde 2007. Especialistas en iluminación deportiva, alta bahía, vial e industrial para más de 50 países.","Lernen Sie SolarOne kennen, professioneller LED-Beleuchtungshersteller seit 2007. Spezialisiert auf Sport-, High-Bay-, Straßen- und Industriebeleuchtung für über 50 Länder.","Узнайте о SolarOne — профессиональном производителе светодиодного освещения с 2007 года. Специализация: спортивное, высокого пролёта, дорожное и промышленное освещение для более чем 50 стран.",تعرّف على SolarOne، مصنّع إضاءة LED احترافي منذ 2007. متخصصون في الإضاءة الرياضية والعالية والطرقية والصناعية لأكثر من 50 دولة.,about.html meta description
